capacidade_por_dia,total_revisados,fraudes_capturadas,recall_%,precisao_%
5,5,5,4.6,100.0
10,10,10,9.3,100.0
15,15,15,13.9,100.0
20,20,20,18.5,100.0
25,25,25,23.1,100.0
30,30,30,27.8,100.0
35,35,35,32.4,100.0
40,40,40,37.0,100.0
45,45,45,41.7,100.0
50,50,50,46.3,100.0
55,55,55,50.9,100.0
60,60,60,55.6,100.0
65,65,64,59.3,98.5
70,70,69,63.9,98.6
75,75,74,68.5,98.7
80,80,79,73.1,98.8
85,85,82,75.9,96.5
90,90,83,76.9,92.2
95,95,84,77.8,88.4
100,100,84,77.8,84.0
105,105,84,77.8,80.0
110,110,84,77.8,76.4
115,115,84,77.8,73.0
120,120,84,77.8,70.0
125,125,85,78.7,68.0
130,130,85,78.7,65.4
135,135,85,78.7,63.0
140,140,86,79.6,61.4
145,145,86,79.6,59.3
150,150,86,79.6,57.3
155,155,87,80.6,56.1
160,160,87,80.6,54.4
165,165,88,81.5,53.3
170,170,88,81.5,51.8
175,175,88,81.5,50.3
180,180,88,81.5,48.9
185,185,88,81.5,47.6
190,190,88,81.5,46.3
195,195,89,82.4,45.6
200,200,89,82.4,44.5
